timestamp,dvol,lee_mykland_jump,lee_mykland_jump_standard,T_statistic,L_statistic
2024-01-18 02:00:00,50.32,0,0,-13.77192524457675,-0.2668169335877477
2024-01-18 03:00:00,50.04,0,0,-11.996601322093657,-0.7495485498047354
2024-01-18 04:00:00,49.64,0,0,-10.796199830893757,-1.075951942795531
2024-01-18 05:00:00,49.0,0,0,-8.381979631326274,-1.7324070291500655
2024-01-18 06:00:00,48.99,0,0,-14.652927015402991,-0.027262110191833264
2024-01-18 07:00:00,48.72,0,0,-12.037567499424565,-0.7384093606445278
2024-01-18 08:00:00,48.05,0,0,-7.964830688113627,-1.8458347709891991
2024-01-18 09:00:00,47.68,0,0,-10.941918581163755,-1.0363292874929604
2024-01-18 10:00:00,47.65,0,0,-14.441582956009634,-0.08472906485671348
2024-01-18 11:00:00,47.5,0,0,-13.186216857156692,-0.4260779861260751
2024-01-18 12:00:00,47.7,0,0,-12.66419713974377,0.5680213344314463
2024-01-18 13:00:00,47.52,0,0,-12.87477735535125,-0.5107620779452606
2024-01-18 14:00:00,47.39,0,0,-13.392683220657913,-0.36993733478624186
2024-01-18 15:00:00,47.11,0,0,-11.811846634059734,-0.7997855392514489
2024-01-18 16:00:00,47.06,0,0,-14.226234463927023,-0.14328487223159056
2024-01-18 17:00:00,47.19,0,0,-13.384374597897272,0.3721965477912535
2024-01-18 18:00:00,47.93,0,0,-7.04126000069827,2.0969645873457945
2024-01-18 19:00:00,49.12,0,0,-2.7250406639276408,3.2705957821939244
2024-01-18 20:00:00,48.53,0,0,-8.895601381649968,-1.5927471876315857
2024-01-18 21:00:00,48.38,0,0,-13.254913475545758,-0.40739856137230307
2024-01-18 22:00:00,48.44,0,0,-14.153392066767879,0.16309158337001278
2024-01-18 23:00:00,48.31,0,0,-13.450719592688095,-0.35415655736602075
2024-01-19 00:00:00,47.69,0,0,-8.341464960515964,-1.7434234483359266
2024-01-19 01:00:00,47.36,0,0,-11.275550699087598,-0.9456107603173612
2024-01-19 02:00:00,47.37,0,0,-14.647327095043165,0.028784794909675792
